2025-12-06 01:13:15:1515 : | error | "POST /register - Error occurred: Unexpected token 'T', \"Test\" is not valid JSON" |
2025-12-06 01:15:26:2626 : | error | "POST /register - Error occurred: Unexpected token 'T', \"Test\" is not valid JSON" |
2025-12-06 01:18:16:1616 : | error | "POST /register - Error occurred: Unexpected token 'P', \"Pest\" is not valid JSON" |
2025-12-06 01:28:39:3939 : | error | "GET /newTier - Error occurred: ReferenceError: tierMessages is not defined\n    at C:\\Users\\rajkiranj\\Desktop\\nest4us-volunteer-system\\nest4us-volunteer-system\\NGO_Node.js\\routes\\volunteers.js:180:7\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)" |
2025-12-06 01:29:01:011 : | error | "GET /newTier - Error occurred: ReferenceError: tierMessages is not defined\n    at C:\\Users\\rajkiranj\\Desktop\\nest4us-volunteer-system\\nest4us-volunteer-system\\NGO_Node.js\\routes\\volunteers.js:180:7\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)" |
2025-12-06 01:29:12:1212 : | error | "GET /newTier - Error occurred: ReferenceError: tierMessages is not defined\n    at C:\\Users\\rajkiranj\\Desktop\\nest4us-volunteer-system\\nest4us-volunteer-system\\NGO_Node.js\\routes\\volunteers.js:180:7\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)" |
2025-12-06 01:46:10:1010 : | error | "PUT /review-hours/:id - Approval email failed: Forbidden" |
2025-12-06 01:46:10:1010 : | error | "PUT /review-hours/:id - Tier email failed: Forbidden" |
2025-12-06 02:10:25:2525 : | error | "PUT /review-hours/:id - Approval email failed: Forbidden" |
2025-12-06 02:10:26:2626 : | error | "PUT /review-hours/:id - Tier email failed: Forbidden" |
