2025-12-04 15:48:28:2828 : | info | "POST /register - API execution started." |
2025-12-04 16:21:43:4343 : | info | "POST /register - API execution started." |
2025-12-04 16:21:56:5656 : | info | "POST /register - API execution started." |
2025-12-04 16:55:38:3838 : | info | "POST /register - API execution started." |
2025-12-04 16:56:43:4343 : | info | "POST /register - API execution started." |
2025-12-04 16:57:41:4141 : | info | "POST /register - API execution started." |
2025-12-04 16:57:52:5252 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764847661144-843735119.png" |
2025-12-04 17:01:22:2222 : | info | "POST /register - API execution started." |
2025-12-04 17:01:23:2323 : | info | "POST /register - Image uploaded at /uploads/userProfilePictures/1764847882322-678940480.png" |
2025-12-04 17:01:24:2424 : | info | "POST /register - User registered successfully." |
