2025-12-06 01:46:02:022 : | info | "GET /dashboard - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:02:022 : | info | "GET /newTier - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:02:022 : | info | "GET /newTier - Sending response. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:02:022 : | info | "GET /dashboard - Response sent successfully. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:02:022 : | info | "GET /stats - API execution started." |
2025-12-06 01:46:02:022 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:46:02:022 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:46:02:022 : | info | "GET /admin/summary - Execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:02:022 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:46:02:022 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:46:02:022 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 01:46:02:022 : | info | "GET /admin/summary - Summary fetched successfully." |
2025-12-06 01:46:02:022 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:46:02:022 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:46:02:022 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:46:02:022 : | info | "GET /stats - API execution started." |
2025-12-06 01:46:02:022 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:46:02:022 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:46:02:022 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 01:46:02:022 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:46:09:099 : | info | "PUT /review-hours/:id - API execution started. Id=69333d4b735b7c59b5c13112" |
2025-12-06 01:46:09:099 : | info | "PUT /review-hours/:id - Hours entry updated and saved. Id=69333d4b735b7c59b5c13112 newStatus=approved" |
2025-12-06 01:46:09:099 : | info | "PUT /review-hours/:id - Volunteer updated. volunteerId=68c8fd17c743b48c4e314119 totalHoursAfter=70 tierBefore=None tierAfter=Kindness Ambassador badgeAdded=true" |
2025-12-06 01:46:10:1010 : | info | "PUT /review-hours/:id - Response sent successfully. Id=69333d4b735b7c59b5c13112" |
2025-12-06 01:46:10:1010 : | info | "GET /stats - API execution started." |
2025-12-06 01:46:10:1010 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:46:10:1010 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:46:10:1010 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:46:10:1010 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:46:10:1010 : | info | "GET /admin/summary - Execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:46:10:1010 : | info | "GET /stats - pendingSubmissions=5" |
2025-12-06 01:46:10:1010 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:46:10:1010 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:46:10:1010 : | info | "GET /admin/summary - Summary fetched successfully." |
2025-12-06 01:46:10:1010 : | info | "GET /stats - API execution started." |
2025-12-06 01:46:11:1111 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:46:11:1111 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:46:11:1111 : | info | "GET /stats - pendingSubmissions=5" |
2025-12-06 01:46:11:1111 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:46:11:1111 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:51:21:2121 : | info | "POST /login - API execution started." |
2025-12-06 01:51:21:2121 : | info | "POST /login - Response sent successfully." |
2025-12-06 01:51:21:2121 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:21:2121 : | info | "GET /newTier - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:21:2121 : | info | "GET /newTier - New tier unlocked! unlockedTier=Kindness Ambassador userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:21:2121 : | info | "GET /newTier - Sending response. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:21:2121 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:39:3939 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:39:3939 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:39:3939 : | info | "GET /newTier - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:51:39:3939 : | info | "GET /newTier - Sending response. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:54:24:2424 : | info | "POST /submit - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:54:24:2424 : | info | "POST /submit - Response sent successfully." |
2025-12-06 01:54:24:2424 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:54:25:2525 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 01:58:21:2121 : | info | "POST /login - API execution started." |
2025-12-06 01:58:37:3737 : | info | "POST /login - API execution started." |
2025-12-06 01:58:37:3737 : | info | "POST /login - Response sent successfully." |
2025-12-06 01:58:37:3737 : | info | "GET /dashboard - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:58:37:3737 : | info | "GET /dashboard - Response sent successfully. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:58:37:3737 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:58:37:3737 : | info | "GET /newTier - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:58:37:3737 : | info | "GET /stats - API execution started." |
2025-12-06 01:58:37:3737 : | info | "GET /newTier - Sending response. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:58:37:3737 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:58:38:3838 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:58:38:3838 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:58:38:3838 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 01:58:38:3838 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:58:38:3838 : | info | "GET /pending-hours - API execution started." |
2025-12-06 01:58:38:3838 : | info | "GET /stats - API execution started." |
2025-12-06 01:58:38:3838 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 01:58:38:3838 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 01:58:38:3838 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 01:58:38:3838 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 01:58:38:3838 : | info | "GET /stats - Response sent successfully." |
2025-12-06 01:58:38:3838 : | info | "GET /admin/summary - Execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 01:58:38:3838 : | info | "GET /admin/summary - Summary fetched successfully." |
2025-12-06 02:01:40:4040 : | info | "POST /login - API execution started." |
2025-12-06 02:01:40:4040 : | info | "POST /login - Response sent successfully." |
2025-12-06 02:01:40:4040 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:01:40:4040 : | info | "GET /newTier - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:01:40:4040 : | info | "GET /newTier - New tier unlocked! unlockedTier=Change Catalyst userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:01:40:4040 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:01:40:4040 : | info | "GET /newTier - Sending response. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:02:55:5555 : | info | "POST /submit - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:02:55:5555 : | info | "POST /submit - Response sent successfully." |
2025-12-06 02:02:55:5555 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:02:55:5555 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:03:44:4444 : | info | "POST /get-entry - API started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:03:44:4444 : | info | "POST /get-entry - Entry fetched successfully." |
2025-12-06 02:05:09:099 : | info | "POST /get-entry - API started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:05:09:099 : | info | "POST /get-entry - Entry fetched successfully." |
2025-12-06 02:05:47:4747 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:05:47:4747 : | info | "GET /newTier - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:05:47:4747 : | info | "GET /newTier - New tier unlocked! unlockedTier=Service Champion userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:05:47:4747 : | info | "GET /newTier - Sending response. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:05:47:4747 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:08:55:5555 : | info | "POST /submit - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:08:55:5555 : | info | "POST /submit - Response sent successfully." |
2025-12-06 02:08:55:5555 : | info | "GET /dashboard - API execution started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:08:55:5555 : | info | "GET /dashboard - Response sent successfully. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:08:59:5959 : | info | "POST /get-entry - API started. userId=68c8fd17c743b48c4e314119" |
2025-12-06 02:08:59:5959 : | info | "POST /get-entry - Entry fetched successfully." |
2025-12-06 02:09:32:3232 : | info | "POST /login - API execution started." |
2025-12-06 02:09:33:3333 : | info | "POST /login - Response sent successfully." |
2025-12-06 02:09:33:3333 : | info | "GET /dashboard - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:09:33:3333 : | info | "GET /dashboard - Response sent successfully. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - API execution started." |
2025-12-06 02:09:33:3333 : | info | "GET /pending-hours - API execution started." |
2025-12-06 02:09:33:3333 : | info | "GET /newTier - API execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:09:33:3333 : | info | "GET /admin/summary - Execution started. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:09:33:3333 : | info | "GET /newTier - Sending response. userId=68c8351b1eee63d9c051fc7e" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - totalVolunteers=8" |
2025-12-06 02:09:33:3333 : | info | "GET /stats - totalHours=[object Object]" |
2025-12-06 02:09:33:3333 : | info | "GET /pending-hours - Response sent successfully." |
2025-12-06 02:09:33:3333 : | info | "GET /stats - pendingSubmissions=6" |
2025-12-06 02:09:33:3333 : | info | "GET /admin/summary - Summary fetched successfully." |
2025-12-06 02:09:33:3333 : | info | "GET /stats - Response sent successfully." |
2025-12-06 02:09:33:3333 : | info | "GET /pending-hours - API execution started." |
2025-12-06 02:09:33:3333 : | info | "GET /stats - API execution started." |
2025-12-06 02:09:33:3333 : | info | "GET /pending-hours - Response sent successfully." |
